epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.9201,0.65022,2.04808,2.45087,1.16711,0,1,0.3833,0.91817,0.86648,1,0.3833,0.91804,0.89085,0.22227,0.33404,2.56687,0.83284,0,0.00197333,0.000657778,0.00197333,0.000657778,0.00197333,0.000657778,0.00197333,0.000657778
2,31.8702,0.36081,0.54921,1.15082,0.9566,0,0.98706,0.97647,0.97445,0.9574,0.98706,0.97647,0.97433,0.97282,0.20137,0.24047,1.07261,0.79315,0,0.00395367,0.00131789,0.00395367,0.00131789,0.00395367,0.00131789,0.00395367,0.00131789
3,45.1838,0.3216,0.42516,0.7369,0.93095,0,0.99905,0.97647,0.97522,0.95469,0.99905,0.97647,0.97504,0.97275,0.22951,0.19769,1.01112,0.79853,0,0.0059142,0.0019714,0.0059142,0.0019714,0.0059142,0.0019714,0.0059142,0.0019714
4,58.2758,0.3282,0.39494,0.66729,0.92671,0,0.99923,0.97647,0.9756,0.97261,0.99923,0.97647,0.97504,0.9738,0.18163,0.21622,0.74766,0.75717,0,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703,0.0059109,0.0019703
5,71.2738,0.32077,0.39722,0.59574,0.92516,0,0.99954,0.97647,0.97532,0.96967,0.99954,0.97647,0.97504,0.97504,0.18925,0.19796,0.50633,0.75263,0,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
6,84.0307,0.31157,0.40356,0.53106,0.91256,0,0.99915,0.97647,0.97517,0.96985,0.99915,0.97647,0.97504,0.97504,0.18434,0.2225,0.4163,0.75446,0,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
7,97.2804,0.31108,0.37004,0.49309,0.91229,0,0.9993,0.97647,0.9752,0.96859,0.9993,0.97647,0.97504,0.974,0.15932,0.24961,0.33379,0.74345,0,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
8,111.304,0.30408,0.36519,0.46034,0.91623,0,0.99926,0.97647,0.97534,0.97285,0.99926,0.97647,0.97504,0.97398,0.16974,0.18746,0.32678,0.73918,0,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307,0.0057921,0.0019307
9,125.249,0.30387,0.31546,0.42286,0.9075,0,0.9993,0.97647,0.9768,0.97421,0.9993,0.97647,0.97504,0.97504,0.17051,0.14428,0.32329,0.73495,0,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
10,139.054,0.29522,0.36618,0.4023,0.90936,0,0.9992,0.97647,0.97627,0.97021,0.9992,0.97647,0.97525,0.97396,0.15735,0.17043,0.31101,0.73759,0,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109,0.0057327,0.0019109
11,152.951,0.29098,0.34189,0.38923,0.90413,0,0.99927,0.97647,0.97647,0.96999,0.99927,0.97647,0.97506,0.97506,0.15446,0.15086,0.2945,0.7332,0,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
12,166.85,0.29356,0.34792,0.38338,0.90611,0,0.9993,0.97647,0.97697,0.97384,0.9993,0.97647,0.97506,0.97506,0.15627,0.14369,0.29063,0.7331,0,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911,0.0056733,0.0018911
13,180.74,0.29724,0.38002,0.36343,0.91294,0,0.99918,0.97647,0.97605,0.97251,0.99918,0.97647,0.97507,0.97507,0.14426,0.163,0.27525,0.72368,0,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
14,194.543,0.2845,0.32098,0.3462,0.89718,0,0.99893,0.97647,0.97526,0.9716,0.99893,0.97647,0.97507,0.97507,0.15473,0.18611,0.32761,0.73251,0,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713,0.0056139,0.0018713
15,208.348,0.28004,0.3158,0.33382,0.90576,0,0.99915,0.97647,0.97701,0.96958,0.99915,0.97647,0.97507,0.97375,0.14777,0.14145,0.27841,0.7352,0,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
